filename,objectid,format,title,paralleltitle,seriestitle,creatorname,creatorrole,contributorname,contributorrole,contributorname2,contributorrole,dateofcreation,language,language,contentdescription,Place recorded,genre,keyword,keyword,keyword,relatedfiles,notes
srk20240622-01.wav,Srk20240622-01,audio/wav,Baha uddin Zakria,بہاء الدین,,Meesum Alam,Collector,Suleman Mirani,Speaker,,,2024-06-22,Saraiki,,"The file contains description, history and role of Baha uddin Zakria saint in Multan and Saraiki region.",Dera Ghazi Khan,Sufitale,Saraiki,Baha uddin Zakria,Multan,,
IMG_1352.HEIC,IMG_1352,image/heic,Picture of English Department,,,Meesum Alam,Collector,,,,,2024-06-23,English,,"The picture is of the English Department in Ghazi University, Dera Ghazi Khan",Dera Ghazi Khan,Picture,,,,,
